Year,Count,Average Magnitude
27.0,1,6.3
89.0,1,6.3
100.0,1,6.3
123.0,1,6.3
304.0,1,6.3
501.0,1,6.3
510.0,1,6.3
664.0,1,6.3
684.0,1,8.4
701.0,1,7.0
704.0,1,7.0
744.0,1,6.4
745.0,2,7.2
766.0,1,6.5
780.0,1,6.3
818.0,1,7.9
850.0,1,7.0
863.0,1,7.0
869.0,1,8.6
887.0,2,7.55
922.0,1,7.0
1026.0,1,7.5
1036.0,1,5.7
1088.0,1,7.0
1096.0,1,8.4
1099.0,1,8.4
1241.0,1,7.0
1257.0,2,7.25
1293.0,1,7.1
1331.0,1,7.0
1341.0,1,7.0
1360.0,1,7.0
1361.0,1,8.4
1385.0,1,6.3
1403.0,1,7.0
1406.0,1,6.2
1408.0,1,7.0
1433.0,1,7.1
1448.0,1,7.0
1455.0,1,6.3
1495.0,1,7.1
1498.0,3,7.400000000000001
1510.0,2,6.85
1518.0,1,6.7
1520.0,1,7.0
1545.0,1,
1553.0,1,6.3
1586.0,1,8.2
1589.0,1,6.7
1596.0,1,6.9
1597.0,1,6.4
1602.0,1,7.2
1605.0,2,7.9
1611.0,2,8.1
1613.0,1,6.3
1614.0,1,7.7
1615.0,1,6.4
1616.0,2,7.25
1619.0,1,6.4
1633.0,1,7.1
1640.0,1,6.5
1642.0,1,6.7
1643.0,1,6.5
1644.0,1,6.9
1646.0,1,7.6
1647.0,1,6.4
1649.0,2,6.5
1659.0,1,
1662.0,2,7.6
1664.0,1,6.3
1666.0,2,6.4
1668.0,1,6.4
1670.0,2,6.35
1671.0,1,6.9
1676.0,1,
1677.0,2,7.75
1678.0,1,7.4
1680.0,1,
1681.0,1,
1694.0,1,
1698.0,1,6.4
1700.0,2,6.75
1703.0,1,8.2
1704.0,1,
1707.0,2,8.4
1708.0,1,7.0
1711.0,2,6.7
1714.0,1,
1715.0,1,6.6
1717.0,1,7.6
1726.0,1,6.6
1727.0,1,5.7
1729.0,1,
1730.0,1,7.6
1731.0,1,6.6
1732.0,1,6.5
1739.0,1,7.1
1751.0,1,6.6
1762.0,1,6.6
1763.0,3,7.433333333333333
1766.0,1,6.9
1769.0,1,7.4
1770.0,1,7.4
1772.0,1,7.4
1780.0,1,7.5
1782.0,1,7.3
1791.0,1,6.5
1792.0,2,6.65
1793.0,2,7.6000000000000005
1799.0,1,6.4
1802.0,1,6.6
1804.0,1,7.3
1808.0,1,6.5
1810.0,1,6.6
1812.0,1,6.6
1828.0,2,6.4
1830.0,1,
1833.0,1,7.4
1834.0,1,6.4
1835.0,1,7.6
1839.0,1,7.3
1843.0,1,8.4
1846.0,1,6.9
1847.0,2,7.45
1853.0,1,
1854.0,3,8.350000000000001
1855.0,3,7.0
1856.0,1,8.0
1857.0,1,6.4
1858.0,2,
1861.0,1,7.4
1863.0,1,6.4
1872.0,1,7.4
1880.0,1,
1881.0,1,7.0
1889.0,1,6.3
1891.0,1,8.4
1892.0,1,
1893.0,2,
1894.0,3,7.466666666666666
1895.0,1,
1896.0,4,7.95
1897.0,4,7.825000000000001
1898.0,1,7.2
1899.0,2,7.1
1900.0,2,7.85
1901.0,6,7.56
1902.0,1,8.0
1904.0,3,7.8
1905.0,3,7.433333333333334
1906.0,1,8.4
1907.0,1,7.9
