Year,Count,Average Magnitude
-1610.0,1,
-1450.0,1,
-550.0,1,
-480.0,1,
-479.0,1,7.0
-432.0,1,
-426.0,1,7.1
-373.0,1,7.3
-364.0,1,
-330.0,1,7.0
-282.0,2,
-227.0,1,7.2
-217.0,1,
-198.0,1,
-58.0,1,6.6
-50.0,1,
11.0,1,
17.0,1,
23.0,1,
29.0,1,
52.0,1,
55.0,1,
57.0,1,
60.0,1,
62.0,1,6.9
63.0,1,
68.0,1,
79.0,1,
93.0,1,
105.0,1,
120.0,1,7.2
142.0,1,7.0
155.0,1,
170.0,1,
177.0,2,
243.0,1,5.3
251.0,1,
253.0,1,
258.0,1,
262.0,1,
324.0,1,
334.0,1,
342.0,1,
344.0,2,
346.0,1,6.8
350.0,1,
355.0,1,
358.0,1,
361.0,1,
362.0,1,
365.0,1,8.0
367.0,1,
368.0,2,6.4
369.0,1,
407.0,1,6.6
412.0,1,
438.0,1,
440.0,1,
447.0,1,7.3
448.0,1,
450.0,1,
470.0,1,
477.0,1,
478.0,1,7.2
518.0,1,
521.0,1,
522.0,1,
527.0,1,
543.0,1,6.8
551.0,1,7.1
554.0,1,7.0
555.0,1,
557.0,2,7.0
558.0,2,7.0
567.0,1,
614.0,1,
688.0,1,
715.0,1,
740.0,1,7.3
778.0,1,5.6
793.0,1,6.0
796.0,1,
801.0,1,
802.0,1,
811.0,1,
842.0,1,
847.0,1,
853.0,1,
854.0,2,
856.0,2,
867.0,1,
894.0,1,5.3
896.0,2,
963.0,1,
985.0,1,
990.0,1,
1000.0,1,
1001.0,1,6.0
1003.0,1,
1010.0,1,
1021.0,1,
1039.0,1,6.8
1040.0,1,
1048.0,1,
1063.0,1,
1064.0,1,
1065.0,1,
1082.0,1,
1086.0,1,
1114.0,1,
1117.0,2,
1125.0,1,
1137.0,1,
1153.0,1,
1155.0,1,
1169.0,1,
1172.0,1,
1180.0,1,
1184.0,1,
1201.0,1,
1222.0,1,
1223.0,1,
1227.0,1,
1231.0,2,6.9
1233.0,1,5.6
1237.0,2,
1248.0,1,
1259.0,1,
1273.0,2,6.5
1277.0,1,5.1
1279.0,1,
1280.0,2,
1286.0,1,
1289.0,1,
1295.0,2,
1298.0,1,
1300.0,2,
1303.0,1,8.0
1306.0,1,
1319.0,1,
1323.0,1,
1328.0,1,
1329.0,1,
1343.0,2,7.5
1345.0,1,
1346.0,1,
1348.0,1,
1349.0,1,
1352.0,1,
1353.0,1,
1356.0,1,
1361.0,1,
1374.0,1,
1375.0,1,
1380.0,1,
1383.0,1,
1384.0,1,
1386.0,1,
1387.0,1,
1389.0,1,
1390.0,1,
1391.0,1,
1399.0,1,
1414.0,1,
1417.0,1,
1418.0,1,
1419.0,1,
1427.0,1,
1428.0,1,
1443.0,1,
1444.0,1,
1447.0,1,
1451.0,1,
1454.0,2,
1456.0,2,
1459.0,1,
1461.0,2,
1469.0,1,
1471.0,1,
1479.0,1,
1481.0,4,7.1
1482.0,1,
1483.0,1,
1490.0,2,
1491.0,1,
1493.0,1,
1494.0,3,7.2
1496.0,1,
1501.0,1,
1502.0,1,
1504.0,2,
1505.0,1,
1508.0,1,
1509.0,4,7.7
1510.0,2,
1511.0,2,6.5
1512.0,1,
1514.0,1,
1516.0,3,
1520.0,1,
1530.0,1,
1538.0,1,
1542.0,2,6.6
1550.0,1,
1555.0,1,
1556.0,3,
1561.0,2,
1563.0,1,
1564.0,1,5.8
1570.0,1,
1574.0,2,
1580.0,1,6.2
1582.0,1,
1584.0,3,5.65
1585.0,1,7.0
1590.0,3,6.6
1593.0,1,
1601.0,1,6.2
1604.0,1,
1608.0,3,
1609.0,1,
1610.0,1,
1612.0,2,
1613.0,2,5.6
1616.0,1,
1618.0,2,
1619.0,1,
1622.0,3,
1624.0,1,
1625.0,1,
1626.0,2,
1627.0,1,6.7
1628.0,1,5.0
1629.0,2,7.0
1630.0,1,
1631.0,1,
1632.0,1,
1633.0,1,6.9
1636.0,2,7.2
1638.0,2,7.0
1639.0,2,
1640.0,3,
1641.0,1,
1644.0,1,
1646.0,3,5.2
1648.0,1,
1649.0,1,5.0
1650.0,1,
1653.0,1,7.5
1654.0,2,
1655.0,1,
1657.0,1,
1658.0,1,
1659.0,1,
1660.0,3,
1661.0,1,
1662.0,1,
1665.0,1,
1667.0,2,6.9
1668.0,1,6.6
1669.0,1,
1670.0,1,
1672.0,3,5.6
1674.0,1,
1682.0,1,
1688.0,5,7.25
1689.0,1,
1690.0,2,5.6
1693.0,2,6.7
1694.0,1,
1695.0,2,6.2
1696.0,1,
1699.0,1,5.0
1702.0,1,
1703.0,3,4.95
1704.0,1,
1706.0,1,
1708.0,1,
1711.0,1,
1714.0,2,6.3
1717.0,1,
1719.0,1,
1720.0,1,
1721.0,1,
1722.0,1,
1723.0,1,7.0
1726.0,1,
1727.0,1,5.2
1730.0,2,
1731.0,1,6.3
1732.0,1,
1738.0,2,5.8
1739.0,1,
1740.0,1,
1741.0,2,
1742.0,2,
1743.0,1,6.9
1748.0,1,6.8
1750.0,4,
1751.0,3,
1752.0,1,
1755.0,2,
1757.0,4,
1758.0,1,
1759.0,3,
1763.0,1,6.2
1766.0,2,6.5
1767.0,2,
1768.0,2,
1769.0,2,
1770.0,1,
1772.0,2,
1774.0,1,
1775.0,1,
1778.0,1,
1780.0,2,
1781.0,1,
1783.0,9,6.4399999999999995
1784.0,3,4.1
1785.0,1,
1786.0,2,
1789.0,1,
1791.0,3,7.0
1796.0,1,
1798.0,2,
1799.0,3,
