Year,Count,Average Magnitude
-2150.0,1,7.3
-2000.0,2,7.1
-1566.0,1,
-1365.0,1,
-1250.0,1,6.5
-1050.0,1,6.2
-759.0,1,
-590.0,1,
-525.0,1,
-400.0,1,7.6
-221.0,1,
-63.0,1,6.4
-50.0,1,5.5
-33.0,1,
-31.0,1,7.0
-27.0,1,
-26.0,1,
-15.0,1,
10.0,1,7.1
33.0,1,
37.0,1,
52.0,1,
76.0,1,
103.0,1,7.0
109.0,1,
115.0,1,7.5
306.0,1,
315.0,1,
340.0,1,
341.0,1,
342.0,1,
348.0,1,
362.0,1,6.4
394.0,1,
396.0,1,
419.0,1,
425.0,1,
427.0,1,6.7
457.0,1,
458.0,1,
494.0,1,
522.0,1,
525.0,1,7.0
528.0,1,7.1
533.0,1,
551.0,1,7.3
552.0,1,
553.0,1,
557.0,1,
565.0,1,
579.0,1,
581.0,1,
587.0,1,
634.0,1,
662.0,1,
678.0,1,
713.0,1,
716.0,1,
735.0,1,5.8
742.0,1,
743.0,2,6.35
746.0,1,7.0
748.0,1,
749.0,1,
758.0,1,
763.0,1,7.6
803.0,1,
835.0,1,
844.0,1,
845.0,1,
846.0,1,
847.0,2,
850.0,1,
851.0,1,5.2
854.0,1,
855.0,1,
856.0,2,6.2
858.0,2,5.2
859.0,1,
860.0,1,
863.0,3,4.9
864.0,1,
871.0,1,6.8
885.0,1,
891.0,1,6.3
893.0,1,
898.0,1,
910.0,1,
912.0,1,
942.0,1,
943.0,1,
951.0,1,
953.0,1,7.1
956.0,1,
957.0,2,
958.0,2,
972.0,1,
977.0,1,
978.0,1,5.3
986.0,1,
991.0,1,
1003.0,1,4.2
1007.0,1,
1008.0,1,6.5
1033.0,1,
1042.0,2,7.6
1045.0,1,
1046.0,1,5.5
1052.0,2,
1058.0,1,
1063.0,1,
1065.0,1,
1066.0,1,
1068.0,1,
1070.0,1,
1076.0,1,
1085.0,2,
1086.0,1,
1088.0,1,5.3
1089.0,1,
1091.0,1,
1101.0,1,6.5
1102.0,1,6.1
1106.0,1,
1109.0,1,
1111.0,1,
1114.0,2,
1115.0,3,
1119.0,1,6.5
1130.0,2,
1137.0,1,
1139.0,1,
1149.0,1,
1151.0,1,6.2
1155.0,1,
