Year,Count,Average Magnitude
1498.0,1,
1502.0,1,
1530.0,1,8.0
1541.0,1,
1543.0,1,
1556.0,1,7.6
1564.0,1,
1566.0,1,7.8
1575.0,1,7.8
1587.0,1,
1590.0,1,
1610.0,1,7.9
1615.0,1,
1621.0,1,
1627.0,1,
1640.0,1,
1641.0,2,7.6
1644.0,2,6.9
1645.0,1,7.5
1660.0,1,7.7
1662.0,1,5.4
1667.0,1,
1673.0,1,
1674.0,1,7.7
1677.0,1,
1678.0,1,
1682.0,1,
1684.0,1,
1687.0,2,7.3
1688.0,2,
1689.0,1,6.8
1690.0,1,8.0
1691.0,1,
1692.0,1,
1693.0,1,
1698.0,2,7.7
1701.0,1,
1702.0,1,
1717.0,1,
1727.0,1,
1735.0,1,4.5
1736.0,1,
1743.0,1,
1750.0,1,
1751.0,5,
1755.0,1,7.0
1757.0,1,7.0
1760.0,1,
1766.0,4,7.15
1767.0,1,
1770.0,1,7.5
1771.0,1,
1774.0,1,
1775.0,4,
1776.0,1,
1780.0,1,
1781.0,1,
1783.0,1,
1784.0,1,
1785.0,1,
1786.0,1,
1787.0,3,
1788.0,1,
1793.0,1,
1794.0,1,
1795.0,1,
1796.0,1,
1797.0,2,8.3
1799.0,1,5.0
1802.0,2,
1805.0,2,6.1
1808.0,1,
1810.0,1,
1812.0,2,7.7
1820.0,1,
1822.0,1,
1823.0,2,
1824.0,3,
1825.0,2,
1826.0,2,8.2
1827.0,2,7.0
1831.0,2,7.0
1834.0,4,6.7
1837.0,2,
1839.0,2,7.8
1842.0,1,8.1
1843.0,1,8.3
1844.0,2,
1845.0,1,4.0
1849.0,2,6.0
1851.0,2,5.0
1852.0,1,
1853.0,1,6.7
1859.0,1,
1860.0,2,7.5
1861.0,1,
1864.0,1,
1867.0,4,7.5
1868.0,5,7.85
1869.0,2,
1870.0,1,
1871.0,2,
1873.0,1,
1874.0,3,5.9
1875.0,2,7.5
1877.0,1,
1878.0,3,5.9
1879.0,1,
1880.0,1,6.0
1881.0,1,
1882.0,1,8.3
1883.0,1,6.0
1884.0,1,7.5
1885.0,2,6.9
1886.0,1,
1887.0,1,
1888.0,2,7.5
1893.0,1,
1894.0,2,8.2
1896.0,1,
1897.0,3,
1899.0,2,7.8
1900.0,3,7.800000000000001
1901.0,1,7.8
1903.0,1,7.7
1904.0,2,7.800000000000001
1906.0,11,7.8999999999999995
1907.0,1,6.2
1913.0,1,6.7
1914.0,1,5.8
1916.0,2,7.2
1917.0,1,7.3
1918.0,3,6.75
1919.0,1,
1921.0,1,7.6
1922.0,3,7.2
1923.0,3,6.3
1924.0,1,6.9
1925.0,1,7.5
1929.0,2,6.9
1932.0,2,6.7
1933.0,1,6.9
1935.0,1,6.1
1936.0,1,5.6
1938.0,2,7.0
1939.0,1,5.6
1942.0,2,6.85
1943.0,2,7.35
1944.0,1,5.5
1946.0,2,7.7
1947.0,1,6.0
1949.0,1,6.5
1950.0,3,6.433333333333334
1953.0,2,6.45
1955.0,2,6.0
1956.0,1,7.3
1958.0,2,7.25
1960.0,1,
1961.0,2,6.65
1962.0,1,6.8
1966.0,2,5.15
1967.0,3,6.8
1968.0,1,6.5
1969.0,2,5.7
1970.0,2,6.85
1971.0,2,6.199999999999999
1973.0,1,6.5
1974.0,4,6.475
1975.0,1,6.1
1976.0,2,6.7
1977.0,1,6.5
1979.0,2,7.25
1980.0,2,5.3
1981.0,1,5.4
1983.0,1,4.9
1984.0,1,6.7
1985.0,1,6.4
1986.0,3,5.300000000000001
1987.0,2,6.7
1988.0,2,5.2
1989.0,3,5.233333333333333
1990.0,1,4.4
1991.0,2,5.800000000000001
1992.0,3,7.133333333333333
1994.0,2,6.1
1995.0,3,6.633333333333333
1996.0,1,5.9
1997.0,2,6.85
1998.0,1,7.2
1999.0,1,6.2
2000.0,1,6.5
2003.0,3,5.433333333333334
2004.0,3,6.433333333333334
2005.0,3,5.566666666666666
2006.0,3,5.8
2007.0,5,6.12
2008.0,4,5.033333333333332
2009.0,4,5.775
2010.0,4,6.35
2011.0,1,4.0
2012.0,1,4.1
2013.0,1,7.0
2014.0,3,5.666666666666667
2015.0,4,5.625
2016.0,3,6.7
2017.0,1,5.5
2018.0,5,5.640000000000001
2019.0,2,6.55
2020.0,2,7.050000000000001
2021.0,2,6.15
2022.0,3,5.6000000000000005
