Year,Count,Average Magnitude
-193.0,1,6.5
-186.0,1,7.0
-70.0,1,7.0
-47.0,1,
-26.0,1,5.5
46.0,1,6.5
128.0,1,6.5
138.0,1,6.8
143.0,1,7.0
173.0,1,
180.0,1,7.5
294.0,2,5.5
319.0,1,4.5
344.0,1,
460.0,1,
499.0,1,
512.0,1,7.5
600.0,1,
649.0,1,5.5
734.0,1,7.0
777.0,1,
778.0,1,
788.0,1,6.5
814.0,1,7.0
820.0,1,
876.0,1,6.5
999.0,2,5.5
1000.0,1,
1001.0,1,
1022.0,1,6.5
1037.0,1,
1038.0,1,7.3
1057.0,1,6.8
1068.0,1,6.0
1102.0,1,
1125.0,1,7.0
1143.0,1,6.0
1209.0,1,6.3
1219.0,1,6.5
1227.0,1,5.5
1255.0,1,
1289.0,1,
1290.0,1,6.8
1291.0,1,6.5
1303.0,1,8.0
1305.0,1,6.5
1306.0,1,6.5
1310.0,1,
1314.0,1,6.0
1327.0,1,4.8
1337.0,1,6.5
1340.0,1,
1343.0,1,
1347.0,1,
1351.0,1,5.5
1352.0,1,7.0
1361.0,1,5.0
1368.0,1,6.0
1372.0,1,4.8
1440.0,1,6.3
1478.0,1,5.5
1481.0,1,6.0
1484.0,1,6.8
1487.0,1,6.3
1488.0,1,5.5
1494.0,1,5.5
1495.0,1,6.3
1499.0,1,
1500.0,1,
1501.0,1,7.0
1502.0,1,6.5
1505.0,2,6.6
1507.0,1,5.3
1509.0,1,
1511.0,1,5.8
1512.0,1,6.5
1514.0,1,5.5
1515.0,2,7.0
1517.0,1,5.5
1520.0,1,5.5
1531.0,1,4.8
1536.0,1,7.3
1539.0,1,5.5
1545.0,1,
1551.0,1,5.0
1556.0,1,8.0
1560.0,2,5.5
1561.0,2,7.3
1568.0,2,6.4
1571.0,1,6.0
1573.0,1,6.8
1577.0,1,6.5
1579.0,1,5.0
1586.0,1,5.5
1588.0,1,6.0
1590.0,1,5.5
1606.0,1,6.5
1609.0,1,7.3
1614.0,1,6.5
1618.0,1,6.5
1621.0,1,5.5
1622.0,1,7.0
1626.0,1,7.0
1627.0,1,6.0
1628.0,1,6.3
1630.0,1,6.3
1631.0,3,5.833333333333333
1634.0,3,5.666666666666667
1642.0,1,6.0
1652.0,1,6.8
1654.0,1,8.0
1657.0,1,6.0
1658.0,1,6.0
1664.0,1,5.5
1668.0,1,8.5
1670.0,1,6.8
1677.0,1,5.5
1679.0,2,6.5
1680.0,1,6.8
1683.0,1,7.0
1688.0,1,6.3
1695.0,1,8.0
1704.0,2,5.75
1709.0,1,7.5
1710.0,1,5.5
1713.0,3,6.65
1714.0,1,
1718.0,1,7.5
1720.0,2,6.8
1725.0,2,5.75
1730.0,1,6.5
1733.0,1,7.5
1738.0,2,6.0
1739.0,1,8.0
1748.0,4,5.625
1750.0,2,6.0
1751.0,1,6.8
1755.0,2,6.25
1761.0,2,6.0
1762.0,1,
1763.0,1,6.5
1765.0,1,6.5
1770.0,1,5.5
1785.0,1,6.0
1786.0,1,7.5
1789.0,2,5.75
1792.0,1,6.0
1793.0,1,6.0
1799.0,1,6.5
1803.0,2,6.75
1806.0,1,7.7
1811.0,1,6.5
1814.0,2,5.65
1815.0,1,6.8
1816.0,1,6.5
1819.0,1,5.8
1820.0,1,6.0
1822.0,1,5.5
1827.0,1,5.3
1829.0,2,5.75
1830.0,1,7.5
1831.0,1,6.3
1833.0,3,7.733333333333333
1834.0,3,5.5
1837.0,1,6.0
1838.0,1,
1839.0,3,6.0
1842.0,2,6.5
1846.0,1,7.5
1850.0,2,6.25
1852.0,1,6.0
1854.0,1,5.5
1855.0,2,5.15
1856.0,1,5.5
1858.0,1,
1861.0,1,6.0
1862.0,1,5.5
1863.0,1,5.5
1866.0,1,
1868.0,2,6.5
1869.0,2,6.5
1870.0,1,7.3
1874.0,1,
1876.0,1,6.0
1878.0,1,5.5
1879.0,1,8.0
1880.0,1,5.5
1881.0,1,6.5
1882.0,1,5.8
1883.0,1,5.5
1884.0,1,6.5
1885.0,3,5.966666666666666
1887.0,1,6.8
1888.0,3,6.25
1890.0,1,5.5
1891.0,1,5.8
1893.0,2,6.15
1895.0,1,
1896.0,1,5.8
1897.0,1,8.0
1898.0,1,5.5
1901.0,1,6.0
1902.0,1,5.5
1904.0,1,6.0
1905.0,1,5.0
1906.0,2,5.4
1908.0,1,7.2
1909.0,1,6.5
1910.0,1,6.8
1911.0,1,5.5
1912.0,1,8.0
1913.0,2,6.5
1914.0,1,7.5
1915.0,1,7.0
1916.0,1,7.7
1917.0,2,6.55
1918.0,2,6.55
1920.0,1,8.3
1921.0,1,
1923.0,2,7.1
1924.0,1,7.3
1925.0,2,6.4
1926.0,1,5.5
1927.0,4,6.025
1928.0,1,5.8
1929.0,3,5.75
1930.0,8,6.457142857142856
1931.0,2,7.6
1932.0,5,6.32
1933.0,2,6.25
1934.0,3,6.766666666666667
1935.0,3,6.266666666666667
1936.0,4,6.275
1937.0,3,6.5
1938.0,1,6.0
1939.0,1,5.5
1940.0,4,5.825
1941.0,5,6.8
1942.0,2,6.4
1943.0,2,6.1
1945.0,1,6.3
1946.0,2,7.65
1947.0,4,6.65
1948.0,4,6.4750000000000005
1949.0,1,5.5
1950.0,3,7.133333333333333
1951.0,2,6.9
1952.0,5,6.15
1953.0,1,5.0
1954.0,5,6.4
1955.0,4,6.525
1956.0,3,5.666666666666667
1957.0,1,5.0
1958.0,1,6.2
1959.0,2,5.2
1960.0,4,5.966666666666666
1961.0,5,6.0
1962.0,4,6.0
1963.0,3,6.266666666666667
1964.0,2,5.050000000000001
1965.0,2,5.8
1966.0,14,6.000000000000001
1967.0,5,5.94
1969.0,1,7.4
1970.0,1,7.8
1971.0,1,5.9
1973.0,2,7.55
1974.0,3,6.433333333333334
1975.0,3,6.8999999999999995
1976.0,4,7.4
1979.0,2,5.65
1980.0,1,6.5
1981.0,1,6.8
1982.0,2,5.05
1983.0,3,5.833333333333333
1984.0,1,5.6
1985.0,1,5.8
1988.0,6,6.466666666666666
1989.0,6,5.5
1990.0,2,6.35
1991.0,3,6.533333333333334
1993.0,3,5.633333333333333
1994.0,1,5.7
1995.0,3,6.199999999999999
1996.0,2,6.3
1997.0,3,6.466666666666666
1998.0,3,5.266666666666667
1999.0,6,5.133333333333333
2000.0,5,5.22
2001.0,7,5.457142857142856
2002.0,4,5.45
2003.0,12,5.6499999999999995
2004.0,6,5.2
2005.0,9,4.777777777777778
2006.0,11,4.881818181818183
2007.0,7,5.1000000000000005
2008.0,19,5.652631578947369
2009.0,11,5.4
2010.0,10,5.279999999999999
2011.0,13,5.384615384615383
2012.0,7,5.471428571428571
2013.0,8,5.5874999999999995
2014.0,9,5.9
2015.0,7,5.757142857142857
2016.0,6,5.966666666666668
2017.0,7,5.285714285714286
2018.0,5,5.32
2019.0,7,5.085714285714286
2020.0,3,5.1000000000000005
2021.0,4,6.199999999999999
2022.0,6,6.016666666666667
2023.0,1,5.6
