Year,Count,Average Magnitude
1629.0,1,
1630.0,1,
1646.0,1,
1657.0,1,
1659.0,1,
1673.0,3,
1674.0,2,6.8
1708.0,1,
1710.0,1,
1711.0,1,7.0
1722.0,1,
1754.0,2,6.5
1757.0,1,7.5
1763.0,1,
1770.0,1,7.0
1775.0,1,
1797.0,1,8.0
1802.0,1,
1814.0,1,
1815.0,2,7.0
1816.0,1,
1818.0,2,7.75
1820.0,1,7.5
1823.0,1,6.8
1828.0,1,
1833.0,1,8.3
1834.0,1,
1835.0,1,
1836.0,2,7.5
1837.0,2,7.3
1840.0,2,7.0
1841.0,2,6.0
1843.0,2,6.65
1845.0,1,7.0
1846.0,1,7.3
1847.0,2,
1852.0,5,7.15
1854.0,2,6.0
1855.0,1,
1856.0,1,
1857.0,3,7.0
1858.0,1,7.3
1859.0,6,7.033333333333334
1860.0,2,
1861.0,5,7.159999999999999
1863.0,2,
1865.0,1,
1867.0,1,
1871.0,1,
1875.0,1,
1876.0,1,6.8
1881.0,1,7.9
1882.0,1,7.5
1885.0,3,7.05
1886.0,1,
1887.0,1,
1888.0,1,
1889.0,2,7.0
1890.0,2,
1891.0,2,7.0
1892.0,2,7.0
1896.0,2,6.8
1897.0,1,5.5
1899.0,2,7.8
1900.0,2,
1903.0,2,7.3
1904.0,1,
1905.0,1,8.4
1907.0,4,7.8
1908.0,3,7.2
1909.0,1,7.6
1914.0,1,7.6
1916.0,1,7.3
1917.0,2,7.199999999999999
1918.0,1,8.1
1920.0,1,
1921.0,2,6.85
1922.0,3,
1923.0,3,6.8
1924.0,2,
1925.0,1,
1926.0,3,5.8
1927.0,1,6.3
1928.0,1,8.1
1930.0,3,6.25
1931.0,1,7.4
1932.0,2,7.4
1933.0,2,6.65
1935.0,2,7.2
1936.0,2,7.3
1937.0,1,7.2
1938.0,2,8.05
1939.0,1,8.0
1942.0,1,7.5
1943.0,2,7.85
1944.0,1,7.5
1948.0,2,7.050000000000001
1949.0,1,6.7
1950.0,3,7.3999999999999995
1954.0,1,6.8
1955.0,1,7.3
1956.0,1,7.5
1957.0,3,6.75
1958.0,2,6.7
1960.0,1,
1961.0,1,6.5
1963.0,3,6.966666666666666
1964.0,2,6.1
1965.0,1,7.6
1967.0,3,6.133333333333333
1968.0,2,7.5
1969.0,2,7.35
1971.0,2,6.15
1975.0,2,5.75
1976.0,2,6.35
1977.0,3,6.3999999999999995
1979.0,6,6.066666666666666
1980.0,1,5.8
1982.0,6,5.8500000000000005
1983.0,4,6.300000000000001
1984.0,2,5.9
1985.0,1,6.2
1986.0,1,5.0
1987.0,2,6.55
1989.0,2,5.9
1990.0,3,6.3999999999999995
1991.0,3,6.166666666666667
1992.0,2,6.1
1994.0,7,6.814285714285714
1995.0,2,6.85
1996.0,1,7.9
1997.0,3,6.3
1998.0,2,7.15
1999.0,1,6.5
2000.0,5,7.1
2001.0,1,7.5
2002.0,2,6.75
2003.0,6,5.75
2004.0,9,6.4222222222222225
2005.0,9,6.222222222222222
2006.0,10,6.23
2007.0,9,6.888888888888888
2008.0,5,6.539999999999999
2009.0,6,6.683333333333334
2010.0,5,7.08
2011.0,2,6.4
2012.0,5,7.08
2013.0,5,5.68
2014.0,2,6.6
2015.0,2,6.25
2016.0,6,6.3999999999999995
2017.0,5,6.119999999999999
2018.0,13,5.976923076923076
2019.0,9,6.177777777777778
2020.0,3,5.7
2021.0,6,5.983333333333333
2022.0,4,6.075000000000001
2023.0,1,7.6
