Year,Count,Average Magnitude
-326.0,1,
-250.0,1,6.7
25.0,1,
50.0,1,
500.0,1,6.7
818.0,1,7.5
838.0,1,
942.0,1,6.7
1175.0,1,7.1
1208.0,1,6.1
1390.0,1,6.1
1475.0,1,6.4
1490.0,1,5.8
1501.0,1,
1505.0,1,
1524.0,1,
1555.0,1,7.6
1618.0,1,
1620.0,1,5.8
1668.0,1,
1678.0,1,
1688.0,1,
1716.0,1,7.5
1725.0,1,8.2
1742.0,1,7.7
1761.0,1,7.7
1769.0,1,7.3
1784.0,1,
1786.0,1,6.0
1799.0,1,6.0
1812.0,1,8.0
1819.0,1,7.7
1827.0,1,
1828.0,1,
1829.0,1,7.5
1832.0,1,
1842.0,1,
1843.0,1,
1845.0,1,6.3
1851.0,1,
1852.0,1,
1862.0,1,7.5
1863.0,1,5.5
1868.0,1,6.5
1874.0,1,
1882.0,1,
1885.0,3,6.6
1887.0,1,7.3
1889.0,1,8.3
1892.0,1,
1893.0,2,6.65
1896.0,3,6.866666666666667
1898.0,1,6.0
1902.0,2,7.050000000000001
1903.0,1,7.8
1905.0,3,8.200000000000001
1906.0,1,8.3
1907.0,1,7.4
1908.0,1,7.0
1909.0,3,7.65
1911.0,3,7.566666666666667
1921.0,1,7.8
1922.0,1,7.5
1929.0,1,7.1
1930.0,1,6.3
1931.0,2,7.7
1935.0,1,7.5
1936.0,1,5.5
1937.0,1,7.2
1939.0,1,6.9
1943.0,1,6.5
1944.0,2,7.1
1945.0,1,8.0
1946.0,1,7.6
1947.0,1,7.6
1949.0,3,7.400000000000001
1954.0,1,
1955.0,3,6.75
1956.0,2,6.8
1957.0,2,7.85
1959.0,2,6.45
1961.0,1,6.8
1962.0,1,6.4
1963.0,2,5.9
1965.0,2,6.949999999999999
1966.0,1,
1967.0,2,7.05
1969.0,2,5.9
1970.0,2,6.0
1972.0,2,6.15
1974.0,1,6.2
1976.0,4,6.4
1977.0,1,5.9
1978.0,3,6.6000000000000005
1980.0,3,4.966666666666668
1981.0,2,4.95
1982.0,1,6.6
1983.0,5,5.68
1984.0,4,6.25
1985.0,3,6.666666666666667
1986.0,3,5.0
1987.0,2,5.85
1988.0,1,5.0
1989.0,1,5.3
1990.0,10,5.85
1991.0,5,5.340000000000001
1992.0,4,6.3
1993.0,3,5.466666666666666
1994.0,1,6.1
1996.0,1,6.3
1997.0,9,5.977777777777778
1998.0,6,6.083333333333333
1999.0,1,6.0
2000.0,1,5.1
2001.0,2,6.3
2002.0,10,5.8
2003.0,8,5.9
2004.0,4,5.3999999999999995
2005.0,9,5.48888888888889
2006.0,8,5.187499999999999
2007.0,6,5.183333333333334
2008.0,8,5.812499999999999
2009.0,8,5.375
2010.0,4,5.1499999999999995
2011.0,8,5.8625
2012.0,4,5.925000000000001
2013.0,10,5.840000000000001
2014.0,1,4.5
2015.0,8,6.075
2016.0,5,5.92
2017.0,4,6.000000000000001
2018.0,3,5.766666666666667
2019.0,3,4.333333333333333
2020.0,1,6.0
2021.0,4,5.75
2022.0,3,5.133333333333334
