Year,Count,Average Magnitude
1737.0,3,7.65
1742.0,1,7.5
1788.0,2,8.0
1790.0,1,7.5
1791.0,1,6.8
1792.0,2,8.4
1820.0,1,
1827.0,1,
1841.0,1,8.4
1849.0,2,7.5
1853.0,1,
1854.0,1,
1858.0,1,7.5
1866.0,1,
1868.0,2,7.9
1871.0,1,7.0
1872.0,1,
1878.0,1,
1880.0,2,7.0
1898.0,1,7.6
1899.0,4,8.025
1900.0,2,8.3
1901.0,1,7.8
1902.0,1,7.8
1903.0,1,8.3
1904.0,4,8.149999999999999
1905.0,2,7.85
1906.0,2,7.699999999999999
1907.0,2,6.65
1908.0,2,6.4
1909.0,1,7.8
1911.0,2,7.25
1912.0,1,7.5
1913.0,1,7.7
1915.0,2,7.699999999999999
1916.0,3,7.633333333333333
1917.0,2,7.85
1923.0,3,7.733333333333333
1925.0,1,6.8
1926.0,1,
1927.0,2,7.3
1929.0,3,7.766666666666667
1936.0,2,7.25
1937.0,1,
1938.0,1,8.2
1940.0,1,7.4
1943.0,1,7.6
1946.0,2,8.6
1948.0,1,7.5
1949.0,1,
1951.0,1,6.9
1952.0,2,9.0
1953.0,1,5.8
1957.0,2,8.05
1958.0,2,7.8
1959.0,2,7.6
1961.0,1,6.6
1962.0,1,6.5
1964.0,2,8.0
1965.0,3,7.599999999999999
1969.0,1,7.3
1970.0,1,6.0
1971.0,4,6.7250000000000005
1972.0,1,7.6
1973.0,2,6.85
1975.0,2,7.65
1979.0,1,7.5
1983.0,3,6.433333333333334
1984.0,1,7.0
1986.0,2,7.2
1987.0,2,7.550000000000001
1988.0,1,7.8
1989.0,2,6.5
1991.0,2,6.2
1993.0,2,7.25
1995.0,1,6.0
1996.0,2,7.6
1997.0,1,7.8
2002.0,2,7.300000000000001
2003.0,1,7.8
2006.0,3,7.533333333333334
2007.0,2,7.4
2008.0,1,7.7
2009.0,1,7.4
2011.0,2,7.05
2013.0,2,7.9
2014.0,2,7.0
2015.0,1,6.9
2016.0,1,7.1
2017.0,2,6.95
2018.0,3,7.266666666666667
2020.0,3,7.633333333333333
2021.0,1,8.2
