Year,Count,Average Magnitude
1072.0,1,
1358.0,1,
1377.0,1,
1387.0,1,
1426.0,1,
1463.0,1,
1631.0,1,5.7
1636.0,1,5.7
1679.0,1,
1733.0,1,
1788.0,1,5.6
1795.0,1,5.2
1809.0,1,
1820.0,1,6.2
1821.0,1,
1842.0,1,
1845.0,1,
1857.0,1,
1861.0,1,
1862.0,1,6.5
1872.0,1,4.9
1875.0,1,6.2
1879.0,1,5.7
1884.0,1,6.2
1889.0,1,4.7
1906.0,2,5.75
1909.0,1,
1910.0,1,7.3
1912.0,1,6.8
1915.0,1,6.2
1919.0,1,7.0
1921.0,2,5.35
1928.0,1,6.9
1930.0,1,
1933.0,1,
1939.0,1,6.4
1941.0,1,5.9
1942.0,1,7.9
1945.0,2,6.300000000000001
1951.0,1,7.9
1960.0,1,6.6
1961.0,1,6.2
1964.0,1,6.0
1966.0,1,6.6
1968.0,1,4.6
1969.0,3,6.1000000000000005
1973.0,1,5.9
1974.0,1,6.2
1976.0,1,5.2
1982.0,1,6.0
1983.0,2,6.9
1986.0,1,4.8
1989.0,2,6.199999999999999
1990.0,4,5.575
1991.0,1,4.7
1992.0,1,7.0
1993.0,1,5.5
1994.0,1,6.2
1997.0,1,5.0
2000.0,2,5.5
2002.0,3,5.466666666666666
2003.0,1,7.6
2004.0,1,4.7
2005.0,3,5.566666666666666
2006.0,2,5.4
2008.0,3,5.266666666666667
2009.0,3,5.133333333333334
2010.0,1,5.1
2014.0,1,5.5
2015.0,1,5.8
2016.0,2,5.35
2017.0,4,5.35
2018.0,3,4.533333333333333
2019.0,1,5.5
2021.0,2,4.85
