Year,Count,Average Magnitude
1067.0,1,6.8
1202.0,1,
1445.0,1,6.3
1535.0,1,5.0
1599.0,1,
1600.0,2,7.0
1601.0,1,
1604.0,1,8.0
1605.0,1,7.5
1610.0,1,
1611.0,1,5.5
1619.0,1,
1620.0,1,
1627.0,1,8.0
1628.0,1,
1636.0,1,
1640.0,1,
1641.0,2,5.8
1645.0,2,8.0
1648.0,1,
1653.0,1,
1658.0,1,
1661.0,1,6.0
1665.0,1,
1667.0,1,6.7
1675.0,1,
1677.0,1,
1694.0,1,5.5
1699.0,1,
1716.0,1,
1720.0,1,5.5
1721.0,3,6.0
1728.0,1,
1730.0,1,
1735.0,1,
1736.0,1,6.0
1743.0,2,
1744.0,1,
1747.0,1,
1749.0,1,
1754.0,1,
1767.0,2,
1768.0,1,6.5
1770.0,1,
1771.0,2,7.4
1776.0,1,5.5
1782.0,1,
1787.0,2,
1791.0,1,5.5
1792.0,1,6.8
1796.0,1,
1809.0,1,
1811.0,2,7.0
1814.0,1,
1815.0,1,6.5
1824.0,2,
1825.0,1,
1826.0,1,
1828.0,1,
1830.0,2,
1834.0,1,
1839.0,1,6.5
1840.0,1,6.5
1845.0,1,6.0
1848.0,1,6.8
1849.0,1,7.5
1852.0,2,7.5
1853.0,2,
1855.0,1,
1856.0,1,
1858.0,1,
1862.0,2,6.5
1863.0,2,6.5
1865.0,1,6.0
1866.0,1,
1867.0,1,7.0
1869.0,2,7.0
1870.0,1,
1871.0,2,
1872.0,3,6.0
1874.0,2,
1875.0,2,
1878.0,1,
1879.0,1,
1880.0,3,7.5
1881.0,4,5.5
1882.0,1,6.3
1884.0,1,5.3
1885.0,2,
1887.0,2,
1889.0,1,6.8
1890.0,1,
1892.0,3,7.5
1893.0,1,
1894.0,2,
1895.0,2,6.0
1897.0,8,7.871428571428571
1901.0,2,7.8
1902.0,3,7.699999999999999
1903.0,2,7.8
1904.0,2,6.15
1905.0,1,6.5
1906.0,3,6.6000000000000005
1907.0,4,7.5
1908.0,1,7.5
1909.0,4,7.533333333333334
1910.0,4,7.05
1911.0,3,6.65
1912.0,1,
1913.0,2,7.75
1914.0,1,8.1
1915.0,3,7.050000000000001
1916.0,3,6.25
1917.0,5,6.540000000000001
1918.0,4,7.7
1919.0,2,7.4
1920.0,1,8.0
1921.0,2,7.5
1922.0,4,6.633333333333333
1923.0,2,6.35
1924.0,3,7.366666666666667
1925.0,3,6.8
1926.0,1,7.5
1927.0,1,6.8
1928.0,2,7.15
1929.0,1,7.2
1930.0,2,5.9
1931.0,1,6.9
1932.0,1,
1934.0,2,7.2
1935.0,4,6.075
1936.0,3,7.233333333333333
1937.0,2,7.25
1938.0,2,7.3
1939.0,1,6.5
1941.0,1,7.1
1942.0,1,7.8
1943.0,1,8.1
1946.0,1,6.8
1948.0,1,7.8
1949.0,2,6.800000000000001
1951.0,3,7.533333333333334
1952.0,1,7.8
1954.0,1,6.8
1955.0,1,7.6
1957.0,2,7.4
1958.0,2,6.65
1959.0,2,7.25
1960.0,1,
1962.0,1,6.1
1963.0,1,7.3
1964.0,1,7.0
1966.0,1,8.0
1967.0,1,7.0
1968.0,2,7.4
1969.0,2,6.95
1970.0,4,6.825
1972.0,7,7.442857142857143
1973.0,1,7.5
1975.0,2,6.85
1976.0,2,7.4
1977.0,1,7.3
1978.0,3,7.1000000000000005
1982.0,1,7.1
1983.0,1,6.5
1985.0,2,6.3
1986.0,2,7.1
1987.0,3,5.466666666666666
1988.0,5,5.7
1989.0,1,7.5
1990.0,7,6.714285714285714
1991.0,1,5.5
1992.0,2,5.6
1993.0,1,7.8
1994.0,5,6.4
1995.0,2,7.0
1996.0,1,6.8
1997.0,1,6.5
1998.0,2,6.6
1999.0,4,6.825
2000.0,4,6.449999999999999
2001.0,3,7.1000000000000005
2002.0,5,6.92
2003.0,4,6.3500000000000005
2004.0,3,5.3
2006.0,3,6.133333333333333
2007.0,3,5.833333333333333
2008.0,1,6.0
2009.0,3,6.433333333333334
2010.0,6,6.6000000000000005
2011.0,2,5.25
2012.0,5,6.32
2013.0,4,6.275
2014.0,1,5.2
2015.0,3,6.766666666666666
2016.0,3,6.333333333333333
2017.0,7,6.028571428571429
2018.0,1,6.4
2019.0,11,6.154545454545455
2020.0,1,6.6
2021.0,1,7.1
2022.0,4,6.75
