Year,Count,Average Magnitude
1523.0,1,
1538.0,1,
1539.0,1,
1542.0,1,
1565.0,1,
1566.0,1,
1568.0,1,
1573.0,1,
1579.0,1,
1586.0,1,
1603.0,1,
1604.0,1,
1608.0,1,
1611.0,1,
1619.0,1,
1622.0,1,
1648.0,1,
1662.0,1,
1663.0,2,
1667.0,1,
1668.0,1,
1682.0,1,
1697.0,1,
1701.0,1,
1711.0,1,
1714.0,1,
1727.0,1,
1731.0,1,
1732.0,1,
1739.0,1,
1740.0,1,
1746.0,1,
1749.0,1,
1750.0,1,
1754.0,1,
1755.0,1,7.0
1759.0,1,
1764.0,1,6.5
1765.0,1,
1766.0,1,
1773.0,2,
1774.0,2,
1776.0,1,
1777.0,1,
1784.0,2,
1787.0,2,7.800000000000001
1791.0,1,
1795.0,1,
1798.0,1,
1800.0,1,
1801.0,1,7.0
1806.0,1,7.5
1811.0,2,7.25
1812.0,2,7.4
1815.0,1,
1816.0,1,7.5
1817.0,1,
1818.0,2,7.5
1820.0,2,7.6
1822.0,1,7.6
1823.0,1,
1830.0,1,
1833.0,1,
1834.0,1,7.0
1837.0,3,7.0
1839.0,1,
1840.0,1,5.2
1841.0,1,
1844.0,2,7.4
1845.0,2,8.0
1847.0,1,
1848.0,1,
1852.0,2,
1854.0,6,7.2
1855.0,3,
1856.0,2,7.5
1858.0,2,
1859.0,2,6.6
1862.0,1,
1864.0,2,7.0
1866.0,1,
1868.0,4,
1870.0,4,7.9
1871.0,2,
1872.0,2,
1873.0,2,
1874.0,2,
1875.0,2,7.5
1878.0,2,
1879.0,1,
1881.0,2,
1882.0,1,
1884.0,3,5.5
1885.0,1,
1886.0,1,7.3
1887.0,2,
1888.0,1,
1889.0,2,
1891.0,1,
1895.0,2,4.3
1896.0,1,
1897.0,2,7.0
1898.0,1,7.9
1899.0,1,8.4
1900.0,3,7.566666666666666
1901.0,1,7.0
1902.0,5,7.12
1903.0,2,7.7
1904.0,1,7.2
1905.0,2,6.8
1907.0,1,8.3
1908.0,2,7.8
1909.0,2,6.25
1910.0,4,7.2
1911.0,2,7.75
1912.0,3,7.8
1914.0,1,7.5
1915.0,2,7.25
1916.0,2,7.25
1917.0,3,6.8
1918.0,1,
1919.0,2,6.25
1920.0,1,7.8
1921.0,2,7.6
1925.0,2,6.85
1926.0,1,7.0
1928.0,5,7.7
1929.0,2,7.2
1930.0,1,
1931.0,2,6.75
1932.0,5,7.8
1933.0,1,6.9
1934.0,3,7.35
1935.0,1,
1936.0,1,
1937.0,5,7.300000000000001
1938.0,4,
1940.0,1,
1941.0,3,7.466666666666666
1942.0,2,7.9
1943.0,1,7.4
1944.0,1,5.6
1947.0,1,
1948.0,1,6.9
1950.0,5,7.375
1951.0,4,6.0
1952.0,2,
1954.0,1,6.1
1955.0,2,6.0
1956.0,2,6.9
1957.0,1,7.9
1959.0,2,6.85
1962.0,4,7.1
1963.0,1,5.5
1964.0,1,7.3
1965.0,2,6.9
1968.0,3,6.0
1972.0,1,6.2
1973.0,3,6.733333333333333
1976.0,3,6.333333333333333
1978.0,3,6.266666666666667
1979.0,4,6.4
1980.0,4,5.799999999999999
1981.0,1,7.3
1982.0,6,5.383333333333333
1983.0,3,6.733333333333333
1985.0,4,6.55
1986.0,2,5.050000000000001
1988.0,2,5.9
1989.0,1,6.8
1990.0,3,5.766666666666667
1991.0,4,6.175
1992.0,1,7.6
1993.0,2,6.5
1994.0,1,4.6
1995.0,2,7.7
1996.0,1,7.1
1997.0,1,7.2
1998.0,2,6.449999999999999
1999.0,4,6.875
2000.0,1,5.4
2001.0,3,6.666666666666667
2002.0,4,5.7250000000000005
2003.0,4,5.65
2004.0,4,6.049999999999999
2006.0,1,4.5
2007.0,2,6.35
2008.0,5,5.74
2009.0,3,5.933333333333334
2010.0,3,5.033333333333334
2011.0,6,5.599999999999999
2012.0,4,7.3999999999999995
2013.0,5,5.220000000000001
2014.0,9,5.933333333333333
2015.0,2,5.55
2016.0,4,5.675
2017.0,7,6.628571428571428
2018.0,4,6.074999999999999
2019.0,2,6.65
2020.0,2,6.25
2021.0,1,7.0
2022.0,4,6.5249999999999995
