Year,Count,Average Magnitude
1520.0,1,
1562.0,1,8.0
1570.0,1,8.3
1575.0,1,8.5
1604.0,1,
1633.0,1,
1639.0,1,
1647.0,1,8.5
1657.0,2,8.0
1687.0,1,7.5
1692.0,1,7.0
1730.0,1,9.1
1737.0,1,8.0
1742.0,1,
1751.0,1,8.5
1765.0,1,
1796.0,1,7.7
1798.0,1,
1811.0,1,
1819.0,3,8.166666666666666
1822.0,2,8.5
1829.0,1,7.0
1833.0,1,
1835.0,1,8.2
1837.0,1,8.5
1838.0,1,
1843.0,1,
1844.0,1,
1846.0,1,
1847.0,3,7.3
1849.0,1,7.5
1851.0,2,7.15
1855.0,1,
1858.0,1,6.5
1859.0,1,7.6
1861.0,1,
1868.0,2,
1869.0,3,
1871.0,3,7.5
1873.0,1,
1878.0,1,
1880.0,1,7.7
1882.0,1,
1888.0,1,
1894.0,1,7.5
1896.0,1,
1898.0,1,6.5
1903.0,1,6.5
1906.0,1,8.2
1909.0,1,7.6
1912.0,1,7.5
1914.0,1,7.6
1916.0,1,7.5
1918.0,2,7.85
1920.0,2,6.5
1922.0,2,8.7
1923.0,1,7.0
1925.0,1,7.1
1926.0,1,6.0
1927.0,1,7.1
1928.0,1,7.6
1929.0,1,8.1
1930.0,2,6.0
1931.0,1,7.1
1932.0,1,7.5
1939.0,2,7.8500000000000005
1940.0,2,7.0
1942.0,1,
1943.0,1,8.2
1944.0,1,7.8
1946.0,1,7.9
1949.0,3,7.633333333333333
1950.0,1,7.0
1953.0,1,7.6
1955.0,1,7.1
1956.0,1,
1958.0,2,6.449999999999999
1960.0,3,8.366666666666667
1961.0,4,7.35
1962.0,1,7.3
1965.0,4,6.7
1966.0,1,7.8
1967.0,1,5.9
1970.0,1,6.0
1971.0,1,7.8
1972.0,2,6.0
1973.0,2,7.1
1974.0,1,7.1
1975.0,2,7.300000000000001
1977.0,1,7.4
1978.0,1,7.0
1981.0,1,7.5
1983.0,1,7.3
1985.0,4,7.25
1986.0,1,5.0
1995.0,1,6.7
1996.0,1,6.9
1997.0,1,7.1
2002.0,3,6.333333333333333
2003.0,2,7.199999999999999
2004.0,3,6.2
2006.0,1,5.6
2007.0,2,6.050000000000001
2008.0,1,4.1
2010.0,3,7.333333333333333
2011.0,1,6.8
2012.0,2,6.95
2013.0,1,7.7
2014.0,1,7.0
2015.0,3,7.0
2016.0,2,7.5
2017.0,2,6.15
2019.0,4,6.500000000000001
2020.0,1,6.7
2021.0,4,7.225
