Year,Count,Average Magnitude
1900,4,3.6500000000000004
1910,6,3.875
1920,12,7.304166666666666
1930,9,5.455
1940,10,5.971428571428571
1950,13,6.973611111111111
1960,18,6.52037037037037
1970,16,7.036666666666667
1980,9,6.327777777777778
1990,14,5.934374999999999
2000,11,6.890476190476191
